,iso_code,new_cases,new_deaths,population,human_development_index,hospital_beds_per_thousand,life_expectancy,median_age,diabetes_prevalence,cardiovasc_death_rate,population_density,gdp_per_capita,range_idh,group_idh,location
22,BRB,-0.15203102347022215,467.0,287708.0,0.5215628088224922,1.2092333683525471,0.8442396832031828,0.9798764982985415,1.3631142307413044,-0.7320581166624927,0.7079402117971254,-0.1378254012300173,"(0.212, 1.513]",3,Barbados
23,BRN,-0.15039080657997297,224.0,441532.0,0.6879530576080034,-0.11020235977286248,0.34553187311743727,0.13745705821131224,1.1699024006607224,-0.4747139627350701,-0.18066023471451506,2.6370567031935157,"(0.212, 1.513]",3,Brunei
24,BTN,-0.15255309481810442,21.0,779900.0,-0.587705516414248,-0.5358267882004144,-0.2654975158164492,-0.29513670831996747,0.41687167829537797,-0.3446948145638309,-0.27233550046214294,-0.556324617104119,"(-1.089, 0.212]",1,Bhutan
25,BWA,-0.146679821427707,2701.0,2397240.0,-0.026138426763148263,-0.49326434535765906,-0.5934765260530204,-0.6138900099745945,-0.8068032455483065,-0.17739433786620812,-0.2984609472943265,-0.19707157562599936,"(-1.089, 0.212]",1,Botswana
26,CAF,-0.15360662838142827,113.0,4919987.0,-2.3694677638257633,-0.8337638880997005,-3.036096460737259,-1.4676934965494897,-0.48726060349195977,1.4568460864102095,-0.29322640985449033,-0.9635831460183583,"(-2.394, -1.089]",2,Central African Republic
27,CAN,-0.06223444719238427,41818.0,38067913.0,1.3188494175864003,-0.19532724545837307,1.3294689038271552,1.162021242101186,-0.1726721109248586,-1.2630678193926455,-0.298471614473971,1.2305836751316679,"(0.212, 1.513]",3,Canada
28,CHE,-0.06764548381498461,13966.0,8715494.0,1.49910552043737,0.6686903442495568,1.5316477457538058,1.3555500323914957,-0.6135914154677247,-1.3113481697052656,0.021857694719098448,1.9083515923340009,"(0.212, 1.513]",3,Switzerland
29,CHL,-0.06533490886018022,45745.0,19212362.0,0.7780811090334895,-0.36132077254511824,0.9925041672827302,0.4789784528412701,0.09732903623903147,-1.0785643782832903,-0.2676206070592745,0.1551412210871156,"(0.212, 1.513]",3,Chile
30,CHN,-0.13322589314778457,3924.0,1444216102.0,0.15411767608782226,0.5878217028483218,0.5027820835048341,0.8546519869342243,0.41439460355075564,0.024682821198235328,-0.07958565981727747,-0.22230773111722857,"(-1.089, 0.212]",1,China
31,CMR,-0.15114069428600346,1930.0,27224262.0,-1.2186018763926447,-0.706076559571435,-2.136026208900823,-1.4107732641111632,-0.2147823815834469,-0.11734050281011783,-0.22708075276176054,-0.8267557152226295,"(-2.394, -1.089]",2,Cameroon
32,COL,-0.010678139337680545,139894.0,51265841.0,0.19571523828420007,-0.5315705439161389,0.5596916834545603,0.1146889652359822,-0.1553325877124986,-1.1094852237992057,-0.23723286001771052,-0.3262440294718926,"(-1.089, 0.212]",1,Colombia
33,COM,-0.15375938805496867,162.0,888456.0,-1.2809982196872107,-0.32301457398663846,-1.3827228200926256,-1.2286285203085194,0.9444885989000441,0.02152729659589187,0.36184966376259164,-0.9254932325489668,"(-2.394, -1.089]",2,Comoros
34,CPV,-0.1526209619856531,403.0,561901.0,-0.511443319054222,-0.3655770168293937,-0.08578298965942326,-0.6252740564622608,-1.398824109513166,-0.6317981195713189,-0.09801549847735844,-0.6821376281333976,"(-1.089, 0.212]",1,Cape Verde
35,CRI,-0.13275738018919972,8525.0,5139053.0,0.4938311006915744,-0.7784327124041188,1.0074803777958148,0.2740656160632957,0.17659542806696207,-0.9963394813344931,-0.15821039321126443,-0.21136213787348918,"(0.212, 1.513]",3,Costa Rica
36,CYP,-0.14243294794037667,1067.0,896005.0,1.0276664822117556,0.18773474012642333,1.1123138513874133,0.69527533610691,0.29054086631961307,-0.9699912628533056,-0.1100892219521246,0.6434094781713768,"(0.212, 1.513]",3,Cyprus
37,CZE,-0.06201838698265199,40327.0,10724553.0,1.1177945336372408,1.562501643947415,0.8726944831780448,1.3783181253668257,-0.3089112218791149,-0.2588530108254022,-0.09558338151841278,0.6530641186446506,"(0.212, 1.513]",3,Czechia
38,DEU,0.47223115972741314,139750.0,83900471.0,1.443642104175533,2.145607110893161,1.1647305881832117,1.75399165945978,0.06017291506968874,-0.84667039536537,0.056561077868265315,1.2919027424469434,"(0.212, 1.513]",3,Germany
39,DJI,-0.15358234327005907,189.0,1002197.0,-1.4889860306690998,-0.6635141167286799,-0.9648865467775404,-0.6594261959252562,-0.4996459772150739,-0.007136071789365506,-0.24171002770278727,-0.8601325301184418,"(-2.394, -1.089]",2,Djibouti
40,DNK,-0.08031020452196343,6341.0,5813302.0,1.3951116149464255,-0.19532724545837307,1.1003328829769454,1.264477660490173,-0.41047128640865127,-1.1875329641595218,-0.09658304863938291,1.3654494488146607,"(0.212, 1.513]",3,Denmark
41,DOM,-0.1401439181181274,4380.0,10953714.0,0.11945304092417408,-0.5783892310431694,0.07895532598451593,-0.4089771731966201,0.03292509287883717,0.063850873311921,0.03500880333795894,-0.25813046856388,"(-1.089, 0.212]",1,Dominican Republic
42,DZA,-0.1477222077267958,6875.0,44616626.0,0.063989624662337,-0.45070190251490405,0.49828922035090834,-0.23821647588164113,-0.33120489458072044,0.16033742322849007,-0.2781872104385536,-0.2928990974505716,"(-1.089, 0.212]",1,Algeria
43,ECU,-0.13289749380667515,23014.0,17888474.0,0.140251822022363,-0.6209516738859246,0.517758294017921,-0.35205694075829375,-0.6234997144462161,-0.9759480364498967,-0.20261633818850602,-0.4615191691418039,"(-1.089, 0.212]",1,Ecuador
44,EGY,-0.14187399226230493,24719.0,104258327.0,-0.22026038367957806,-0.5783892310431694,-0.23404747373897067,-0.6708102424129208,2.289540185230247,2.1959226776719176,-0.1552845382230591,-0.46312495264593434,"(-1.089, 0.212]",1,Egypt
45,ERI,-0.15372093467708223,103.0,3601462.0,-1.9396262877965258,-0.9614512166279658,-1.0831986098309163,-1.353853031672837,-0.4996459772150739,0.4301306572450545,-0.23710942551039563,-0.9206060939668561,"(-2.394, -1.089]",2,Eritrea
46,ESP,0.13928364113558,107834.0,46745211.0,1.1455262417681593,0.004716235902576265,1.498700082625018,1.628767148095462,-0.22221360581731547,-1.3141164628289925,-0.16274242067737,0.7373995848782539,"(0.212, 1.513]",3,Spain
47,EST,-0.140421803490844,2583.0,1325188.0,1.0623311173754038,0.7367902527979651,0.7768467358942978,1.3100138464408355,-1.0024921503735111,-0.027469843900550916,-0.2573328742335587,0.4949324498985029,"(0.212, 1.513]",3,Estonia
48,ETH,-0.14277886441099835,7516.0,117876226.0,-1.7593701849455556,-1.1317009879989866,-1.041265220394277,-1.2969327992345108,-0.14790136347863045,-0.6283789480048112,-0.14468136165642742,-0.9094993150798562,"(-2.394, -1.089]",2,Ethiopia
49,FIN,-0.12784792361993189,4530.0,5548361.0,1.3812457608809663,0.1366598087151171,1.2515926091591072,1.3213978929284986,-0.5714811448091364,-0.8683553581678986,-0.2769863907871443,1.0569044997670216,"(0.212, 1.513]",3,Finland
50,FJI,-0.15242375376690656,866.0,902899.0,0.029324989498688822,-0.28045213114388345,-0.9154650520843586,-0.29513670831996747,1.591005107246606,1.2681160549065924,-0.22909684971457075,-0.5566091338031489,"(-1.089, 0.212]",1,Fiji
51,FRA,0.5547238658131924,149166.0,67422000.0,1.1247274606699704,1.2858457654695066,1.3639141880072458,1.2303255210271777,-0.8167115445267978,-1.4240490079179504,-0.11782902272561155,0.9566986495510268,"(0.212, 1.513]",3,France
52,GAB,-0.15283236188953922,304.0,2278829.0,-0.24799209181049658,1.422045582566323,-1.0607342940612874,-0.9212592651415565,-0.2147823815834469,0.008765135736804732,-0.2926473343880747,-0.158860760272228,"(-1.089, 0.212]",1,Gabon
53,GBR,0.3522025237040738,175273.0,68207114.0,1.3396481986845892,-0.178302268321271,1.1632329671319024,1.0937169631751942,-0.938088207013317,-1.1268117727253901,0.11124104072596552,1.0147747224531858,"(0.212, 1.513]",3,United Kingdom
54,GEO,-0.11518669228768214,16811.0,3979773.0,0.5076969547570345,-0.15276480261561787,0.032529073393950676,0.8546519869342243,-0.23707605428505243,1.955229477325008,-0.20552238270022874,-0.5038706083449589,"(0.212, 1.513]",3,Georgia
55,GHA,-0.1501595945215851,1445.0,31732128.0,-0.8858213788216223,-0.8763263309424557,-1.4201633463753391,-1.1489401948948619,-0.767170049634341,0.3241363386833035,-0.11151862402448742,-0.783096217833806,"(-1.089, 0.212]",1,Ghana
56,GIN,-0.15308748436133884,442.0,13497237.0,-1.8148336012073922,-1.1317009879989866,-1.7900757460485488,-1.3880051711358328,-1.398824109513166,0.6411059013500491,-0.22575497472022998,-0.8958858843572722,"(-2.394, -1.089]",2,Guinea
57,GMB,-0.15366627561253474,365.0,2486937.0,-1.6831079875855295,-0.7912014452569452,-1.722682798739665,-1.5587658684508119,-1.5251549214889308,0.5975464794894991,0.011682729221053092,-0.918009512182112,"(-2.394, -1.089]",2,Gambia
58,GNQ,-0.15357428726397324,183.0,1449891.0,-1.0175469924434855,-0.3655770168293937,-2.2183953667227927,-1.000947590555214,-0.071112046395322,-0.4621330591638462,-0.23575316981273792,0.14693446797763515,"(-1.089, 0.212]",1,Equatorial Guinea
59,GRC,-0.0722708022393704,29976.0,10370747.0,1.0345994092444852,0.5324905271527401,1.3010141038522889,1.6059990551201302,-0.8712071889085004,-0.6855491443903525,-0.17741131657136203,0.24660686203488344,"(0.212, 1.513]",3,Greece
60,GRD,-0.15352693480959662,231.0,113015.0,0.2789103626769557,0.3154220686546889,-0.17264501063531865,-0.20406433641864566,0.6546708537791711,-0.12308306324832542,0.1786484727823589,-0.3090916502885353,"(0.212, 1.513]",3,Grenada
61,GTM,-0.1336138928827558,18259.0,18249868.0,-0.5253091731196813,-1.004013659470721,0.11190298911330378,-0.9440273581168878,0.5233858923141602,-0.8486559865642337,-0.06410301050469085,-0.6213448812859115,"(-1.089, 0.212]",1,Guatemala
