"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y_rep[7]",72111.069,4.86306932750635,288.694310370347,71553.925,71911.75,72110,72309.25,72668.025,3524.159272541,1.00107762189437
"y_rep[8]",16410.74975,1.99443069947567,129.128837558114,16156.975,16323,16409,16497,16664.025,4191.87749281654,0.999492975512262
"y_rep[9]",96.24225,0.163350061624283,10.0044033784749,77,89,96,103,116,3750.97166177039,0.999840597380599
"y_rep[10]",864.5085,0.552188343275205,34.3266005690435,800,841,864,888,933.025,3864.44494241811,1.00031316975184
"y_rep[11]",17415.46225,2.16952363198966,134.829539887015,17152.975,17322,17416,17504,17678.025,3862.25847361467,1.000493424864
"y_rep[12]",620.765,0.383113464785435,25.2980982179167,572.975,604,620,638,672,4360.34564360019,1.00006487739076
"y_rep[13]",963.5245,0.514529848210035,31.8654476108191,900,942,963,985,1025,3835.47273310036,1.00036071818349
"y_rep[14]",1969.42425,0.718628728729394,46.2716330805871,1877,1939,1969,2001,2059.025,4145.91605876589,1.00120436749353
"y_rep[15]",18370.98425,2.20043498007394,137.56402497448,18102,18278,18371,18466,18638,3908.34297559881,1.00082867263184
"y_rep[16]",164.13575,0.204259607412577,12.8533701502195,140,155,164,172,190,3959.76163230337,0.999923940783417
"y_rep[17]",797.39975,0.449610364926312,27.8305512851203,744,778,797,816,854,3831.51905154048,0.999301863585204
"y_rep[18]",8573.75625,1.57483443308324,94.3366667187759,8387.975,8510,8573,8639,8759,3588.32069615761,0.999554195444783
"y_rep[19]",18885.6395,2.26921367650832,140.307872603531,18618,18791,18885,18980,19155.05,3823.07919699675,0.999680903720282
"y_rep[20]",1045.897,0.529627181657259,32.6891501286594,982,1024,1046,1068,1111,3809.48903122216,1.00091609907628
"y_rep[21]",21029.464,2.41057606041396,147.759195649458,20743.975,20925,21031,21129.25,21311.05,3757.22633829334,0.999723160349072
"y_rep[22]",334543.21375,10.5597650962135,689.682530632176,333164.825,334084,334545,335010.25,335864.05,4265.69634250792,0.999769851559036
"y_rep[23]",169.13575,0.203696395313637,12.8170937193403,144,160,169,178,194.025,3959.24550710782,1.00051607798677
"y_rep[24]",817.044,0.465606619829208,29.0430101420209,760,798,817,837,874,3890.85422984371,0.999345816864788
"y_rep[25]",1055.032,0.553990011400047,32.5295945199123,992,1033,1054,1077,1120,3447.89023171975,0.99956002401387
"y_rep[26]",1908.3215,0.716859194554931,43.4064761100469,1826,1878,1908,1938,1994.025,3666.41262376017,1.00039246888153
"y_rep[27]",660.216,0.412673092102716,26.4028335866693,610,642,659.5,678,714,4093.44323841634,0.999506638340398
"y_rep[28]",109374.0945,5.45131357366732,352.491991002179,108689,109128.75,109379,109621,110049.05,4181.15414317993,0.999827459753406
"y_rep[29]",17048.852,2.0261540238605,129.549916600602,16787.975,16962.75,17048,17136,17300.025,4088.17391330144,1.00015238541513
"y_rep[30]",49936.767,3.60263227729521,226.661081843588,49494,49782,49937,50086,50385,3958.34864216939,0.999839695837017
"y_rep[31]",225563.059,9.80760210569554,639.830502779503,224322,225125.75,225565,226011,226790.15,4256.02533460903,0.999799152670049
"y_rep[32]",3083.93425,0.996983614188159,61.954689272227,2963,3042,3083,3126,3203,3861.6448085427,0.999302732266627
"y_rep[33]",142167.966,6.35620520782809,416.754549384417,141358,141882,142171,142443,142990.025,4298.97460005238,0.999875916958102
"y_rep[34]",292.5895,0.281491399362848,18.1205567904134,259,280,292,305,329,4143.93386954023,1.00008689222063
"y_rep[35]",289.35125,0.271108916220984,16.9959874480665,257,278,290,301,323,3930.11448467339,0.999994642916731
"y_rep[36]",12740.59475,1.76604763150462,113.444164314617,12516,12664,12741,12814,12969,4126.28760436987,0.999563589690417
"y_rep[37]",1761.243,0.672913116735966,42.484381620431,1677,1732,1761,1789,1845,3986.03047588119,0.999652044615402
"y_rep[38]",20859.3815,2.29345572270939,146.467262972074,20574,20760,20857,20957,21154,4078.49948497174,0.99926014012642
"y_rep[39]",109909.82975,5.83997111019446,364.875838963616,109197,109659,109908.5,110153,110640,3903.63151711037,0.999396485436177
"y_rep[40]",219.15275,0.249006778610138,15.5158339354731,190,208,219,230,250,3882.64698468681,0.999479133740326
"y_rep[41]",14749.19825,2.06603865344405,121.715488381576,14515.975,14667,14748,14833,14985,3470.68186984578,0.999294251903163
"y_rep[42]",4614.26225,1.05950361620182,68.2376917149177,4480,4568,4615,4660,4746,4148.04795208687,1.00033269847833
"y_rep[43]",31368.147,2.93575235116759,185.662920560401,31003,31244,31370,31496,31727.025,3999.55359573055,0.999366528220365
"y_rep[44]",33735.66775,2.96099191146713,190.394972153397,33368.95,33609,33734,33865,34115,4134.62864485187,0.999373951452429
"y_rep[45]",13586.39375,2.09754723750944,140.929524918258,13316.975,13491.75,13582,13681,13864,4514.19666565949,1.00014641560216
"y_rep[46]",278.01425,0.284251423420682,16.7645104056094,245,267,278,289,311,3478.37541748436,1.00051537504832
"y_rep[47]",118563.39325,5.83409695969357,366.948935800077,117824.95,118317,118569.5,118807,119279.05,3956.07011220295,0.999892635476716
"y_rep[48]",4308.94425,1.03521342135096,65.5559267863838,4182,4265,4309,4353,4437.025,4010.18247981417,0.999234021840797
"y_rep[49]",4516.90625,1.37955440497175,82.2918401038306,4355.975,4461,4517,4573.25,4682,3558.24528547298,0.999495980328704
"y_rep[50]",17023.51225,2.06675549130861,129.226393260496,16770,16938.75,17021,17112,17282.025,3909.52726323285,0.999719518155939
"y_rep[51]",205.8485,0.238318099179152,14.3133247558487,179,196,206,216,235,3607.17321657289,0.99954063761241
"y_rep[52]",135351.445,6.39465276455359,401.724099399089,134561.975,135080.75,135356,135622.25,136147.05,3946.58842562929,1.00175635422737
